TextSentence,EAFPath
La cantidad de patos es 17.,/home/ubuntu/repositories/datasets/PUCP_305/DIECISIETE/DIECISIETE_ORACION_2.eaf
La cantidad de patos es 17.,/home/ubuntu/repositories/datasets/PUCP_305/DIECISIETE/DIECISIETE_ORACION_2.eaf
La cantidad de patos es 17.,/home/ubuntu/repositories/datasets/PUCP_305/DIECISIETE/DIECISIETE_ORACION_2.eaf
Yo capté que comía una manzana. ¿Quién? Capté que él.,/home/ubuntu/repositories/datasets/PUCP_305/CAPTAR/CAPTAR_ORACION_1.eaf
Yo capté que comía una manzana. ¿Quién? Capté que él.,/home/ubuntu/repositories/datasets/PUCP_305/CAPTAR/CAPTAR_ORACION_1.eaf
Yo capté que comía una manzana. ¿Quién? Capté que él.,/home/ubuntu/repositories/datasets/PUCP_305/CAPTAR/CAPTAR_ORACION_1.eaf
Yo capté que comía una manzana. ¿Quién? Capté que él.,/home/ubuntu/repositories/datasets/PUCP_305/CAPTAR/CAPTAR_ORACION_1.eaf
Ví a un hombre caminar hacia la playa.,/home/ubuntu/repositories/datasets/PUCP_305/HOMBRE/HOMBRE_ORACION_1.eaf
Ví a un hombre caminar hacia la playa.,/home/ubuntu/repositories/datasets/PUCP_305/HOMBRE/HOMBRE_ORACION_1.eaf
Ví a un hombre caminar hacia la playa.,/home/ubuntu/repositories/datasets/PUCP_305/HOMBRE/HOMBRE_ORACION_1.eaf
Ví a un hombre caminar hacia la playa.,/home/ubuntu/repositories/datasets/PUCP_305/HOMBRE/HOMBRE_ORACION_1.eaf
Ví a un hombre caminar hacia la playa.,/home/ubuntu/repositories/datasets/PUCP_305/HOMBRE/HOMBRE_ORACION_1.eaf
Yo compro una pelota.,/home/ubuntu/repositories/datasets/PUCP_305/PELOTA/PELOTA_ORACION_1.eaf
Yo compro una pelota.,/home/ubuntu/repositories/datasets/PUCP_305/PELOTA/PELOTA_ORACION_1.eaf
La matématica es difícil.,/home/ubuntu/repositories/datasets/PUCP_305/DIFICIL/DIFICIL_ORACION_1.eaf
La matématica es difícil.,/home/ubuntu/repositories/datasets/PUCP_305/DIFICIL/DIFICIL_ORACION_1.eaf
"El y yo, ambos caminabamos, nos sentamos, juntos nos firmamos a una acta y ya estamos casados.",/home/ubuntu/repositories/datasets/PUCP_305/CASAR/CASAR_ORACION_1.eaf
"El y yo, ambos caminabamos, nos sentamos, juntos nos firmamos a una acta y ya estamos casados.",/home/ubuntu/repositories/datasets/PUCP_305/CASAR/CASAR_ORACION_1.eaf
"El y yo, ambos caminabamos, nos sentamos, juntos nos firmamos a una acta y ya estamos casados.",/home/ubuntu/repositories/datasets/PUCP_305/CASAR/CASAR_ORACION_1.eaf
"El y yo, ambos caminabamos, nos sentamos, juntos nos firmamos a una acta y ya estamos casados.",/home/ubuntu/repositories/datasets/PUCP_305/CASAR/CASAR_ORACION_1.eaf
"El y yo, ambos caminabamos, nos sentamos, juntos nos firmamos a una acta y ya estamos casados.",/home/ubuntu/repositories/datasets/PUCP_305/CASAR/CASAR_ORACION_1.eaf
Vamos nosotros dos juntos.,/home/ubuntu/repositories/datasets/PUCP_305/JUNTOS/JUNTOS_ORACION_1.eaf
Vamos nosotros dos juntos.,/home/ubuntu/repositories/datasets/PUCP_305/JUNTOS/JUNTOS_ORACION_1.eaf
Vamos nosotros dos juntos.,/home/ubuntu/repositories/datasets/PUCP_305/JUNTOS/JUNTOS_ORACION_1.eaf
"Ya es hora despues de conversar mucho, bueno me despido.",/home/ubuntu/repositories/datasets/PUCP_305/CHAU/CHAU_ORACION_2.eaf
"Ya es hora despues de conversar mucho, bueno me despido.",/home/ubuntu/repositories/datasets/PUCP_305/CHAU/CHAU_ORACION_2.eaf
"Ya es hora despues de conversar mucho, bueno me despido.",/home/ubuntu/repositories/datasets/PUCP_305/CHAU/CHAU_ORACION_2.eaf
"Ya es hora despues de conversar mucho, bueno me despido.",/home/ubuntu/repositories/datasets/PUCP_305/CHAU/CHAU_ORACION_2.eaf
Por curiosidad quisiera saber con un adivino quién me ha robado el dinero.,/home/ubuntu/repositories/datasets/PUCP_305/ADIVINA/ADIVINA_ORACION_1.eaf
Por curiosidad quisiera saber con un adivino quién me ha robado el dinero.,/home/ubuntu/repositories/datasets/PUCP_305/ADIVINA/ADIVINA_ORACION_1.eaf
Por curiosidad quisiera saber con un adivino quién me ha robado el dinero.,/home/ubuntu/repositories/datasets/PUCP_305/ADIVINA/ADIVINA_ORACION_1.eaf
Por curiosidad quisiera saber con un adivino quién me ha robado el dinero.,/home/ubuntu/repositories/datasets/PUCP_305/ADIVINA/ADIVINA_ORACION_1.eaf
Por curiosidad quisiera saber con un adivino quién me ha robado el dinero.,/home/ubuntu/repositories/datasets/PUCP_305/ADIVINA/ADIVINA_ORACION_1.eaf
Yo ya las vi a esas dos personas señando y ya lo capté. ,/home/ubuntu/repositories/datasets/PUCP_305/CAPTAR/CAPTAR_ORACION_3.eaf
